Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,ID,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
14790873,The Special Mask (50ml),"This amazing textured mask lifts, tones and plumps skin. Providing a healthy looking skin, it refines its texture and illuminates the complexion. Skin stays fresh, clear and matte. Enriched in Triple Collagen, QAI® and lifting and purifying agents, it livens up dull and tired skin.
",EVIDENS DE BEAUTÉ,,The Special Mask (50ml),"Beauty, Skincare, Face Masks & Treatments",True,https://www.harrods.com/en-ae/shopping/evidens-de-beaute-the-special-mask-50ml-14790873,Color,NO COLOUR,Size,,,,,,,,deny,manual,702.66,,True,True,,,1,,False,,,,,,,The Special Mask (50ml),,,False,,,,,,https://image.harrods.com/14/79/08/73/14790873_27961776_2048.jpg,g,,,active
14790873,,,,,,,,,,https://image.harrods.com/14/79/08/73/14790873_27961776_2048.jpg,,,,,,,,,deny,manual,,,True,True,,,2,,,,,,,,,,,,,,,,,,,g,,,
14790873,,,,,,,,,,https://image.harrods.com/14/79/08/73/14790873_27961778_2048.jpg,,,,,,,,,deny,manual,,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
14791300,Blue Sapphire Perfume (100ml),"Inspired by the 65th wedding anniversary of Queen Elizabeth II and Prince Philip, Blue Sapphire is an opulent pure perfume from Boadicea the Victorious.  Top notes of lemon, orange and green accord provide an exhilarating welcome before rose, cardamom and Indian jasmine give the scent a luxurious overtone – underlined by a base of oud, patchouli and soft amber to maintain a sensuous quality of indulgent luxury.  Presented in a stunning royal blue glass falcon that hints at the mysterious beauty of the gemstone, it features the signature Boadicea The Victorious pewter, this time plated in gold and adorned with a certified blue sapphire stone.
",BOADICEA THE VICTORIOUS,,Blue Sapphire Perfume (100ml),"Beauty, Perfume, Womens Perfume",True,https://www.harrods.com/en-ae/shopping/boadicea-the-victorious-blue-sapphire-perfume-100ml-14791300,Color,NO COLOUR,Size,,,,,,,,deny,manual,2572.99,,True,True,,,1,,False,,,,,,,Blue Sapphire Perfume (100ml),,,False,,,,,,https://image.harrods.com/14/79/13/00/14791300_39730226_2048.jpg,g,,,active
14791300,,,,,,,,,,https://image.harrods.com/14/79/13/00/14791300_39730226_2048.jpg,,,,,,,,,deny,manual,,,True,True,,,2,,,,,,,,,,,,,,,,,,,g,,,
14791300,,,,,,,,,,https://image.harrods.com/14/79/13/00/14791300_39729176_2048.jpg,,,,,,,,,deny,manual,,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
14799253,Baccarat Rouge 540 Eau de Parfum (70ml),"Baccarat Rouge 540 is an eau de parfum born from the encounter between Maison Francis Kurkdjian and Baccarat, as a celebration of the 250th anniversary of the iconic crystal house. A unique oriental floral fragrance suitable for both men and women, it lays on the skin like a floral and woody breeze where the aerial notes of jasmine and the radiance of saffron carry mineral facets of ambergris and woody tones of freshly cut cedarwood.
",MAISON FRANCIS KURKDJIAN,,Baccarat Rouge 540 Eau de Parfum (70ml),"Beauty, Perfume, Womens Perfume",True,https://www.harrods.com/en-ae/shopping/maison-francis-kurkdjian-baccarat-rouge-540-eau-de-parfum-70ml-14799253,Color,NO COLOUR,Size,,,,,,,,deny,manual,885.82,,True,True,,,1,,False,,,,,,,Baccarat Rouge 540 Eau de Parfum (70ml),,,False,,,,,,https://image.harrods.com/14/79/92/53/14799253_23616468_2048.jpg,g,,,active
14799253,,,,,,,,,,https://image.harrods.com/14/79/92/53/14799253_23616468_2048.jpg,,,,,,,,,deny,manual,,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
14936576,Baccarat Rouge 540 Eau de Parfum Travel Set,"Take the iconic Baccarat Rouge 540 fragrance on-the-go thanks to the Maison Francis Kurkdjian Baccarat Rouge 540 Travel Set containing Globe Trotter travel spray case in gold and five refills. An Eau de Parfum in which the aerial notes of jasmine and the radiance of saffron carry the mineral facets of ambergris and woody tones of freshly cut cedar. A graphic and highly condensed signature.
",MAISON FRANCIS KURKDJIAN,,Baccarat Rouge 540 Eau de Parfum Travel Set,"Beauty, Perfume, Womens Perfume",True,https://www.harrods.com/en-ae/shopping/maison-francis-kurkdjian-baccarat-rouge-540-eau-de-parfum-travel-set-14936576,Color,NO COLOUR,Size,,,,,,,,deny,manual,967.22,,True,True,,,1,,False,,,,,,,Baccarat Rouge 540 Eau de Parfum Travel Set,,,False,,,,,,https://image.harrods.com/14/93/65/76/14936576_24347078_2048.jpg,g,,,active
14936576,,,,,,,,,,https://image.harrods.com/14/93/65/76/14936576_24347078_2048.jpg,,,,,,,,,deny,manual,,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
